depth,vwc,z,fc,wTop,wBot,root,transp,wp,time
1,0.5,1,0.6,0,0,0,0,0.1,0
1,0.5,2,0.6,0,0,0,0,0.1,0
1,0.5,3,0.6,0,0,0,0,0.1,0
1,0.5,4,0.6,0,0,0,0,0.1,0
1,0.5,5,0.6,0,0,0,0,0.1,0
1,0.5,1,0.6,0,0,0,0,0.1,1
1,0.5,2,0.6,0,0,0,0,0.1,1
1,0.5,3,0.6,0,0,0,0,0.1,1
1,0.5,4,0.6,0,0,0,0,0.1,1
1,0.5,5,0.6,0,0,0,0,0.1,1
1,0.5,1,0.6,0,0,0,0,0.1,2
1,0.5,2,0.6,0,0,0,0,0.1,2
1,0.5,3,0.6,0,0,0,0,0.1,2
1,0.5,4,0.6,0,0,0,0,0.1,2
1,0.5,5,0.6,0,0,0,0,0.1,2
1,0.5,1,0.6,0,0,0,0,0.1,3
1,0.5,2,0.6,0,0,0,0,0.1,3
1,0.5,3,0.6,0,0,0,0,0.1,3
1,0.5,4,0.6,0,0,0,0,0.1,3
1,0.5,5,0.6,0,0,0,0,0.1,3
