thiccness,vwc,z,fc,w_top,w_bot,root_frac,AT_soil_zone,AE,time
1,0.7,1,0.5,0,0,0,0,0,0
1,0.7,2,0.5,0,0,0,0,0,0
1,0.7,3,0.5,0,0,0,0,0,0
1, 0.5, 1, 0.5, 1, 1.2, 0, 0, 0, 1
1, 0.5, 2, 0.5, 1.2, 1.4, 0, 0, 0, 1
1, 0.5, 3, 0.5, 1.4, 1.6, 0, 0, 0, 1
1, 0.125, 1, 0.5, 1.25, 1.25, 1, 0.125, 0.25, 2
1, 0.5, 2, 0.5, 1.25, 1.25, 0, 0, 0, 2
1, 0.5, 3, 0.5, 1.25, 1.25, 0, 0, 0, 2
1, 0, 1, 0.5, 1.5, 1.125, 0.278178020377721, 0.0695445050944303, 0.43045549490557, 3
1, 0.358691057957388, 2, 0.5, 1.125, 1.125, 0.287057747792725, 0.0717644369481813, 0.0695445050944303, 3
1, 0.427587769338729, 3, 0.5, 1.125, 1.125, 0.289648922645084, 0.072412230661271, 0, 3
1, 0, 1, 0.5, 1.75, 1.25, 0.191212265450394, 0.0956061327251968, 0.404393867274803, 4
1, 0, 2, 0.5, 1.25, 1.10869105795739, 0.200091992865397, 0.100045996432699, 0.399954003567301, 4
1, 0.203006286983226, 3, 0.5, 1.10869105795739, 1.03627882729612, 0.202683167717756, 0.101341583858878, 0.195652129157895, 4
1, 0.5, 1, 0.5, 2, 1.5, 0.172847154703745, 0, 0.404393867274803, 5
1, 0.5, 2, 0.5, 1.5, 1, 0.181726882118749, 0, 0.399954003567301, 5
1, 0.5, 3, 0.5, 1, 0.703006286983226, 0.184318056971108, 0, 0.195652129157895, 5
